,taxi_date,total_amount,geometry
12913503,2015-02-09,8.8,POINT (-73.97972869873048 40.76052474975585)
12913578,2015-02-09,9.8,POINT (-73.97251129150391 40.75687789916992)
12913579,2015-02-09,6.8,POINT (-73.97464752197266 40.7588005065918)
12913586,2015-02-09,11.6,POINT (-73.97226715087891 40.75699996948241)
12913590,2015-02-09,7.3,POINT (-73.97771453857422 40.75417709350585)
12913594,2015-02-09,6.3,POINT (-73.97410583496094 40.75802230834961)
12913979,2015-02-09,10.3,POINT (-73.97216033935547 40.75994873046875)
12913990,2015-02-09,9.8,POINT (-73.97542572021484 40.75806045532227)
12927551,2015-02-09,12.36,POINT (-73.97286987304686 40.76206588745117)
12928092,2015-02-09,23.16,POINT (-73.975341796875 40.75577545166016)
12930354,2015-02-09,4.8,POINT (-73.9729766845703 40.76171875)
12930362,2015-02-09,10.3,POINT (-73.97589874267578 40.75508117675781)
12932911,2015-02-09,6.8,POINT (-73.97516632080078 40.76166534423828)
12932922,2015-02-09,16.56,POINT (-73.97528839111328 40.75606536865234)
12933891,2015-02-09,8.84,POINT (-73.97205352783203 40.75983047485352)
12934599,2015-02-09,7.3,POINT (-73.974365234375 40.75418090820313)
12934600,2015-02-09,15.36,POINT (-73.97506713867188 40.75561141967773)
12934609,2015-02-09,10.8,POINT (-73.97659301757811 40.75891876220703)
12934613,2015-02-09,9.13,POINT (-73.97171020507811 40.75817108154297)
12934698,2015-02-09,13.8,POINT (-73.97669982910156 40.76087951660156)
12934699,2015-02-09,7.3,POINT (-73.97972869873048 40.75632858276367)
12935099,2015-02-09,9.8,POINT (-73.97364807128906 40.75909042358398)
12935119,2015-02-09,11.8,POINT (-73.97479248046875 40.75764846801758)
12937270,2015-02-09,14.7,POINT (-73.97838592529298 40.76124954223633)
12938072,2015-02-09,10.4,POINT (-73.97257232666014 40.75834274291992)
12938572,2015-02-09,10.8,POINT (-73.98032379150391 40.76113128662109)
12938961,2015-02-09,7.3,POINT (-73.97457122802734 40.76213073730469)
12939244,2015-02-09,24.35,POINT (-73.98046875 40.76047515869141)
12939327,2015-02-09,7.8,POINT (-73.98009490966798 40.76090621948241)
12939328,2015-02-09,8.8,POINT (-73.97825622558594 40.7579231262207)
12939337,2015-02-09,27.95,POINT (-73.97384643554686 40.75803375244141)
12939342,2015-02-09,11.15,POINT (-73.97209930419923 40.75757217407227)
12940626,2015-02-09,15.35,POINT (-73.9724884033203 40.75727844238281)
12940717,2015-02-09,15.36,POINT (-73.97607421875 40.75656127929688)
12940723,2015-02-09,15.05,POINT (-73.97171020507811 40.7591209411621)
12940875,2015-02-09,9.8,POINT (-73.97411346435547 40.762939453125)
12940876,2015-02-09,13.5,POINT (-73.97993469238281 40.75899887084961)
12940912,2015-02-09,9.36,POINT (-73.97612762451173 40.76057052612305)
12941178,2015-02-09,9.3,POINT (-73.97409820556641 40.75631713867188)
12941179,2015-02-09,7.8,POINT (-73.97471618652342 40.75918197631836)
12941182,2015-02-09,15.36,POINT (-73.97653961181641 40.75837326049805)
