,taxi_date,total_amount,geometry
108506535,2015-09-24,7.8,POINT (-73.97869873046875 40.76242828369141)
108506538,2015-09-24,7.55,POINT (-73.97879791259766 40.76169586181641)
108506544,2015-09-24,5.3,POINT (-73.97135162353516 40.75764083862305)
108506560,2015-09-24,7.3,POINT (-73.97467041015625 40.7623291015625)
108506599,2015-09-24,6.8,POINT (-73.97747039794923 40.76329803466797)
108506603,2015-09-24,42.84,POINT (-73.97397613525391 40.75692749023438)
108506613,2015-09-24,5.8,POINT (-73.97697448730467 40.75619888305664)
108506632,2015-09-24,5.8,POINT (-73.97438049316406 40.75576400756836)
108506707,2015-09-24,17.29,POINT (-73.9788360595703 40.76237487792969)
108506710,2015-09-24,6.24,POINT (-73.97581481933594 40.75454711914063)
108506760,2015-09-24,22.56,POINT (-73.97850799560547 40.75433731079102)
108506763,2015-09-24,4.8,POINT (-73.97312927246094 40.75531005859375)
108506821,2015-09-24,12.3,POINT (-73.97687530517578 40.75597381591797)
108506840,2015-09-24,45.94,POINT (-73.97502136230467 40.759521484375)
108506885,2015-09-24,7.8,POINT (-73.97887420654298 40.76178359985352)
108506889,2015-09-24,58.34,POINT (-73.97576141357422 40.76215744018555)
108506938,2015-09-24,13.8,POINT (-73.97411346435547 40.75682067871094)
108507010,2015-09-24,3.8,POINT (-73.97608184814453 40.75722122192383)
108507071,2015-09-24,11.15,POINT (-73.97714996337891 40.75878524780273)
108507078,2015-09-24,44.34,POINT (-73.9742889404297 40.75962066650391)
108507096,2015-09-24,12.8,POINT (-73.97930908203125 40.76190185546875)
108507123,2015-09-24,9.35,POINT (-73.97285461425781 40.75622177124024)
108507160,2015-09-24,8.76,POINT (-73.97260284423827 40.75584030151367)
108507198,2015-09-24,58.8,POINT (-73.97702789306641 40.75534057617188)
108507269,2015-09-24,5.3,POINT (-73.97847747802734 40.75440979003906)
108507323,2015-09-24,20.8,POINT (-73.97441864013672 40.75680541992188)
108507346,2015-09-24,4.8,POINT (-73.97689056396483 40.75593566894531)
108507353,2015-09-24,5.76,POINT (-73.97476959228516 40.75598907470703)
108507427,2015-09-24,8.16,POINT (-73.97812652587891 40.75447082519531)
108507461,2015-09-24,9.8,POINT (-73.97885131835938 40.76220321655273)
108507516,2015-09-24,23.3,POINT (-73.97260284423827 40.75599670410156)
108507577,2015-09-24,43.54,POINT (-73.97305297851562 40.75560760498047)
108507583,2015-09-24,12.3,POINT (-73.97292327880859 40.75506973266602)
108507638,2015-09-24,17.15,POINT (-73.97417449951173 40.75399780273438)
108507650,2015-09-24,7.3,POINT (-73.97714996337891 40.75591659545898)
108507660,2015-09-24,9.35,POINT (-73.97298431396483 40.76139450073241)
108507675,2015-09-24,4.8,POINT (-73.97399139404298 40.76270294189453)
